city,postcode,living_space,rooms,rent,description,year_built,floor,rent_per_sqm,scam_label,city_tier
Duisburg,47053,97.8,3.2,919.0,Altbauwohnung mit hohen Decken und Parkettboden.,1968,8,9.4,0,4
Essen,45133,128.5,4.1,853.0,Gemütliche 2-Zimmer Wohnung mit Einbauküche.,2013,8,6.64,0,4
Frankfurt,60313,46.4,1.7,661.0,Well-maintained building with elevator.,1918,1,14.25,0,1
Frankfurt,60325,52.8,1.8,1205.0,Close to university and city center.,1983,4,22.82,0,1
Düsseldorf,40219,147.1,4.5,2133.0,Moderne Wohnung mit Fußbodenheizung.,2010,3,14.5,0,2
Düsseldorf,40219,66.2,2.2,1191.0,Well-maintained building with elevator.,1913,5,17.99,0,2
Cologne,50676,82.8,2.3,1290.0,Moderne Wohnung mit Fußbodenheizung.,1918,4,15.58,0,2
Nuremberg,90419,104.1,3.0,966.0,Gepflegtes Mehrfamilienhaus in guter Lage.,2003,4,9.28,0,3
Duisburg,47059,95.2,3.1,464.0,"Quiet neighborhood, perfect for families.",1934,0,4.87,0,4
Frankfurt,60318,78.0,2.2,1083.0,Modern renovated apartment near public transport.,1915,2,13.88,0,1
Dresden,01099,108.2,3.4,1121.0,Bright apartment with great views of the city.,1979,0,10.36,0,3
Dortmund,44135,108.8,3.3,799.0,"Zentrale Lage, alle Einkaufsmöglichkeiten fußläufig erreichbar.",1922,4,7.34,0,4
Leipzig,04179,46.0,1.0,380.0,Newly built apartment with underground parking.,1942,1,8.26,0,3
Hannover,30169,114.4,4.3,1142.0,Well-maintained building with elevator.,1908,3,9.98,0,3
Nuremberg,90403,60.9,1.6,1183.0,"Zentrale Lage, alle Einkaufsmöglichkeiten fußläufig erreichbar.",1980,5,19.43,0,3
Nuremberg,90409,70.7,2.3,694.0,"Quiet neighborhood, perfect for families.",1918,1,9.82,0,3
Dresden,01109,62.7,2.1,575.0,Schöne helle Wohnung im Altbau mit Balkon. Ruhige Lage.,1932,0,9.17,0,3
Düsseldorf,40211,31.4,1.0,255.0,Payment required before viewing. Keys will be mailed to you.,1962,6,8.12,1,2
Dortmund,44143,29.0,1.0,235.0,Gepflegtes Mehrfamilienhaus in guter Lage.,1933,5,8.1,0,4
Dortmund,44139,77.4,2.7,474.0,Altbauwohnung mit hohen Decken und Parkettboden.,1953,7,6.12,0,4
Essen,45127,91.9,3.0,638.0,Close to university and city center.,1953,3,6.94,0,4
Nuremberg,90403,89.9,2.6,1078.0,Well-maintained building with elevator.,1939,6,11.99,0,3
Munich,81669,73.9,2.5,955.0,I won the lottery and leaving Germany. Quick decision needed.,1985,5,12.92,1,1
Munich,81667,60.7,2.3,1569.0,Gemütliche 2-Zimmer Wohnung mit Einbauküche.,1972,2,25.85,0,1
Munich,80335,59.3,2.2,1216.0,Altbauwohnung mit hohen Decken und Parkettboden.,1955,1,20.51,0,1
Essen,45131,25.6,1.3,162.0,Sonnige Südausrichtung mit großer Terrasse.,1988,5,6.33,0,4
Leipzig,04103,95.6,3.2,659.0,Gepflegtes Mehrfamilienhaus in guter Lage.,1998,1,6.89,0,3
Leipzig,04179,54.3,1.5,345.0,Gepflegtes Mehrfamilienhaus in guter Lage.,1935,5,6.35,0,3
Duisburg,47058,100.4,3.8,455.0,Gepflegtes Mehrfamilienhaus in guter Lage.,1914,4,4.53,0,4
Hamburg,20097,141.4,4.5,2242.0,Frisch saniert mit neuer Küche und Bad.,1995,0,15.86,0,2
Düsseldorf,40210,144.4,5.3,2392.0,Close to university and city center.,1966,5,16.57,0,2
Dortmund,44143,85.4,2.9,629.0,Gemütliche 2-Zimmer Wohnung mit Einbauküche.,1910,4,7.37,0,4
Frankfurt,60322,102.2,3.2,1686.0,Newly built apartment with underground parking.,1953,4,16.5,0,1
Düsseldorf,40217,106.0,3.5,657.0,URGENT: Must rent immediately. Wire transfer required before keys.,1959,0,6.2,1,2
Hamburg,20095,81.5,3.0,1602.0,Newly built apartment with underground parking.,2004,2,19.66,0,2
Nuremberg,90402,66.0,1.8,1431.0,Green surroundings with garden access.,2001,7,21.68,0,3
Frankfurt,60316,49.6,1.9,1549.0,Newly built apartment with underground parking.,1900,0,31.22,0,1
Dresden,01069,69.9,2.5,1148.0,Gepflegtes Mehrfamilienhaus in guter Lage.,2000,8,16.42,0,3
Cologne,50674,74.2,2.7,1191.0,Schöne helle Wohnung im Altbau mit Balkon. Ruhige Lage.,2000,7,16.05,0,2
Dortmund,44135,126.0,3.8,557.0,Payment required before viewing. Keys will be mailed to you.,1985,0,4.42,1,4
Berlin,10243,120.7,3.8,1303.0,"Zentrale Lage, alle Einkaufsmöglichkeiten fußläufig erreichbar.",1959,6,10.8,0,2
Berlin,10117,118.8,4.1,2034.0,Newly built apartment with underground parking.,1979,0,17.12,0,2
Hannover,30159,116.8,4.2,417.0,Payment required before viewing. Keys will be mailed to you.,1962,4,3.57,1,3
Düsseldorf,40210,80.1,2.4,929.0,Sonnige Südausrichtung mit großer Terrasse.,1927,8,11.6,0,2
Essen,45130,108.1,3.4,682.0,Moderne Wohnung mit Fußbodenheizung.,2024,2,6.31,0,4
Leipzig,04107,59.5,2.1,527.0,Schöne helle Wohnung im Altbau mit Balkon. Ruhige Lage.,1905,4,8.86,0,3
Nuremberg,90402,33.8,1.0,439.0,Moderne Wohnung mit Fußbodenheizung.,1960,0,12.99,0,3
Hannover,30161,93.0,2.6,1171.0,Sonnige Südausrichtung mit großer Terrasse.,1960,5,12.59,0,3
Düsseldorf,40215,131.6,4.0,2986.0,Close to university and city center.,1909,1,22.69,0,2
Essen,45133,65.2,2.1,584.0,Modern renovated apartment near public transport.,1954,8,8.96,0,4
Duisburg,47053,134.2,4.2,930.0,Moderne Wohnung mit Fußbodenheizung.,1908,3,6.93,0,4
Dortmund,44139,109.4,3.8,739.0,Moderne Wohnung mit Fußbodenheizung.,1907,3,6.76,0,4
Düsseldorf,40217,140.2,5.1,1071.0,"Ich bin im Ausland, bitte Miete vorab überweisen für Schlüsselübergabe.",1987,5,7.64,1,2
Munich,80335,115.7,3.7,2454.0,Well-maintained building with elevator.,1942,7,21.21,0,1
Hamburg,20095,135.4,4.1,2129.0,Sonnige Südausrichtung mit großer Terrasse.,1954,5,15.72,0,2
Berlin,10178,82.8,3.1,1323.0,Well-maintained building with elevator.,1993,4,15.98,0,2
Duisburg,47057,72.8,2.7,531.0,Modern renovated apartment near public transport.,1951,6,7.29,0,4
Nuremberg,90429,28.5,1.2,387.0,Gemütliche 2-Zimmer Wohnung mit Einbauküche.,2007,1,13.58,0,3
Düsseldorf,40219,111.2,3.6,1021.0,"Quiet neighborhood, perfect for families.",1959,2,9.18,0,2
Duisburg,47058,126.3,4.6,1598.0,"Quiet neighborhood, perfect for families.",1981,0,12.65,0,4
Hamburg,20144,34.0,1.6,595.0,Modern renovated apartment near public transport.,1936,6,17.5,0,2
Nuremberg,90429,140.1,4.2,1966.0,Close to university and city center.,1960,7,14.03,0,3
Essen,45130,53.6,1.3,317.0,Gepflegtes Mehrfamilienhaus in guter Lage.,1922,7,5.91,0,4
Düsseldorf,40211,91.8,2.8,1120.0,Modern renovated apartment near public transport.,1947,4,12.2,0,2
Hamburg,20144,29.0,1.3,437.0,Green surroundings with garden access.,1996,2,15.07,0,2
Essen,45128,85.4,2.5,314.0,"Cannot meet in person, will send keys by mail after payment.",1972,5,3.67,1,4
Düsseldorf,40211,37.5,1.0,1002.0,Newly built apartment with underground parking.,2022,5,26.71,0,2
Hamburg,20148,55.1,1.6,662.0,Bright apartment with great views of the city.,1925,2,12.01,0,2
Dortmund,44141,53.6,2.3,420.0,Gepflegtes Mehrfamilienhaus in guter Lage.,1926,3,7.84,0,4
Stuttgart,70188,56.7,1.4,1204.0,Gepflegtes Mehrfamilienhaus in guter Lage.,1997,7,21.23,0,1
Düsseldorf,40219,29.5,1.5,763.0,Modern renovated apartment near public transport.,1991,5,25.85,0,2
Hamburg,20144,46.2,1.9,589.0,Newly built apartment with underground parking.,1910,5,12.75,0,2
Hamburg,20097,45.1,1.5,229.0,"Cannot meet in person, will send keys by mail after payment.",1994,3,5.08,1,2
Essen,45133,36.7,1.6,297.0,Close to university and city center.,1947,2,8.09,0,4
Leipzig,04179,117.2,3.7,690.0,Sonnige Südausrichtung mit großer Terrasse.,1946,8,5.89,0,3
Duisburg,47057,64.3,2.3,315.0,Gepflegtes Mehrfamilienhaus in guter Lage.,1976,0,4.9,0,4
Essen,45130,48.1,1.5,401.0,"Zentrale Lage, alle Einkaufsmöglichkeiten fußläufig erreichbar.",1989,1,8.34,0,4
Leipzig,04103,80.2,2.7,1411.0,Green surroundings with garden access.,1993,0,17.59,0,3
Leipzig,04105,148.5,5.3,1229.0,Close to university and city center.,1929,4,8.28,0,3
Frankfurt,60325,55.9,2.2,857.0,"Zentrale Lage, alle Einkaufsmöglichkeiten fußläufig erreichbar.",1906,3,15.33,0,1
Nuremberg,90403,99.9,3.6,1079.0,Close to university and city center.,1943,7,10.8,0,3
Stuttgart,70180,25.6,1.0,460.0,Bright apartment with great views of the city.,1960,4,17.97,0,1
Frankfurt,60311,95.9,3.3,1935.0,Close to university and city center.,1963,4,20.18,0,1
Düsseldorf,40210,74.8,3.0,1079.0,Schöne helle Wohnung im Altbau mit Balkon. Ruhige Lage.,1944,1,14.43,0,2
Cologne,50667,47.4,1.4,706.0,Schöne helle Wohnung im Altbau mit Balkon. Ruhige Lage.,2008,8,14.89,0,2
Dortmund,44141,127.5,4.1,1227.0,Sonnige Südausrichtung mit großer Terrasse.,1985,4,9.62,0,4
Duisburg,47057,102.0,2.9,199.0,Sehr günstig wegen Umzug ins Ausland. Kaution vorab überweisen.,1958,0,1.95,1,4
Stuttgart,70180,146.7,5.2,3305.0,Sonnige Südausrichtung mit großer Terrasse.,2009,4,22.53,0,1
Düsseldorf,40210,63.0,2.5,902.0,Newly built apartment with underground parking.,1930,1,14.32,0,2
Munich,81669,107.3,3.2,1490.0,Sonnige Südausrichtung mit großer Terrasse.,1902,0,13.89,0,1
Düsseldorf,40217,135.0,4.6,1541.0,Modern renovated apartment near public transport.,1950,0,11.41,0,2
Berlin,10243,124.3,3.9,1387.0,"Zentrale Lage, alle Einkaufsmöglichkeiten fußläufig erreichbar.",1944,2,11.16,0,2
Düsseldorf,40213,56.6,1.9,817.0,Altbauwohnung mit hohen Decken und Parkettboden.,1932,6,14.43,0,2
Cologne,50668,139.8,4.7,1618.0,Green surroundings with garden access.,1900,7,11.57,0,2
Frankfurt,60316,114.3,3.6,2071.0,Sonnige Südausrichtung mit großer Terrasse.,1952,1,18.12,0,1
Dresden,01127,28.1,1.4,186.0,Close to university and city center.,1933,6,6.62,0,3
Hamburg,20144,69.5,2.8,886.0,Moderne Wohnung mit Fußbodenheizung.,1903,1,12.75,0,2
Essen,45128,38.7,1.0,314.0,Modern renovated apartment near public transport.,2021,3,8.11,0,4
Hamburg,20148,113.6,3.3,1513.0,Altbauwohnung mit hohen Decken und Parkettboden.,1926,6,13.32,0,2
Düsseldorf,40210,120.7,4.0,1780.0,Altbauwohnung mit hohen Decken und Parkettboden.,1994,8,14.75,0,2
Essen,45127,127.7,4.2,931.0,Frisch saniert mit neuer Küche und Bad.,1915,6,7.29,0,4
Cologne,50676,40.7,1.2,658.0,Gepflegtes Mehrfamilienhaus in guter Lage.,2016,5,16.17,0,2
Stuttgart,70180,119.4,4.3,568.0,URGENT: Must rent immediately. Wire transfer required before keys.,1966,2,4.76,1,1
Frankfurt,60311,120.9,3.8,2636.0,Newly built apartment with underground parking.,2020,7,21.8,0,1
Hannover,30159,90.3,2.5,1685.0,Newly built apartment with underground parking.,2024,3,18.66,0,3
Düsseldorf,40210,67.3,2.4,1186.0,"Zentrale Lage, alle Einkaufsmöglichkeiten fußläufig erreichbar.",1989,1,17.62,0,2
Nuremberg,90402,94.2,2.9,1303.0,Green surroundings with garden access.,1995,0,13.83,0,3
Frankfurt,60318,131.4,4.5,987.0,Too good to be true? It's real! Just send deposit first.,1968,5,7.51,1,1
Dortmund,44143,56.4,1.8,449.0,Sonnige Südausrichtung mit großer Terrasse.,2001,4,7.96,0,4
Nuremberg,90403,77.9,2.8,574.0,Too good to be true? It's real! Just send deposit first.,1970,7,7.36,1,3
Düsseldorf,40217,52.2,1.6,806.0,"Quiet neighborhood, perfect for families.",1970,7,15.44,0,2
Düsseldorf,40219,142.1,4.5,2420.0,Modern renovated apartment near public transport.,1987,8,17.03,0,2
Munich,80331,47.9,2.1,1877.0,Gepflegtes Mehrfamilienhaus in guter Lage.,2000,0,39.18,0,1
Munich,81667,82.7,2.7,1866.0,Newly built apartment with underground parking.,1934,1,22.56,0,1
Hamburg,20095,58.5,2.0,1345.0,"Quiet neighborhood, perfect for families.",1912,0,22.99,0,2
Nuremberg,90402,61.1,1.7,1103.0,Frisch saniert mit neuer Küche und Bad.,1959,8,18.06,0,3
Essen,45128,132.4,4.6,458.0,URGENT: Must rent immediately. Wire transfer required before keys.,1960,3,3.46,1,4
Düsseldorf,40215,124.4,4.3,1878.0,Frisch saniert mit neuer Küche und Bad.,1971,3,15.1,0,2
Leipzig,04103,140.2,4.9,492.0,"I am currently abroad, please send deposit via Western Union before viewing.",1974,1,3.51,1,3
Leipzig,04179,42.4,1.4,320.0,Well-maintained building with elevator.,2020,0,7.55,0,3
Hannover,30163,101.0,3.1,1027.0,Moderne Wohnung mit Fußbodenheizung.,2012,0,10.17,0,3
Frankfurt,60322,58.9,1.6,2478.0,"Quiet neighborhood, perfect for families.",2019,8,42.07,0,1
Dortmund,44141,52.6,2.0,577.0,Gepflegtes Mehrfamilienhaus in guter Lage.,1937,6,10.97,0,4
Essen,45131,100.5,2.9,640.0,Well-maintained building with elevator.,1924,8,6.37,0,4
Stuttgart,70186,75.6,2.9,1831.0,Bright apartment with great views of the city.,1944,2,24.22,0,1
Stuttgart,70182,119.1,4.3,1736.0,Schöne helle Wohnung im Altbau mit Balkon. Ruhige Lage.,2019,1,14.58,0,1
Dresden,01069,75.4,2.6,682.0,Bright apartment with great views of the city.,1996,6,9.05,0,3
Frankfurt,60325,68.4,2.3,1075.0,Modern renovated apartment near public transport.,1962,0,15.72,0,1
Hannover,30159,96.9,3.6,1178.0,Moderne Wohnung mit Fußbodenheizung.,1934,3,12.16,0,3
Leipzig,04177,146.1,4.4,1821.0,Green surroundings with garden access.,1939,8,12.46,0,3
Nuremberg,90402,114.3,3.8,1091.0,Gepflegtes Mehrfamilienhaus in guter Lage.,1928,1,9.55,0,3
Dresden,01127,39.4,1.0,411.0,Bright apartment with great views of the city.,1942,7,10.43,0,3
Dortmund,44137,137.6,4.7,867.0,Bright apartment with great views of the city.,1918,2,6.3,0,4
Frankfurt,60325,92.7,2.9,1420.0,Moderne Wohnung mit Fußbodenheizung.,1958,3,15.32,0,1
Hannover,30165,72.2,2.7,884.0,Gemütliche 2-Zimmer Wohnung mit Einbauküche.,1958,2,12.24,0,3
Essen,45134,45.8,1.8,166.0,"I am currently abroad, please send deposit via Western Union before viewing.",1948,5,3.61,1,4
Hannover,30167,28.5,1.0,280.0,Gemütliche 2-Zimmer Wohnung mit Einbauküche.,1940,4,9.82,0,3
Düsseldorf,40211,95.4,3.4,1419.0,"Zentrale Lage, alle Einkaufsmöglichkeiten fußläufig erreichbar.",1902,2,14.87,0,2
Frankfurt,60311,56.5,2.1,1683.0,Schöne helle Wohnung im Altbau mit Balkon. Ruhige Lage.,1914,5,29.8,0,1
Hannover,30169,87.1,2.6,1166.0,Frisch saniert mit neuer Küche und Bad.,1933,0,13.39,0,3
Essen,45128,63.0,2.3,700.0,Green surroundings with garden access.,1956,4,11.11,0,4
Hamburg,20148,37.8,1.3,541.0,Newly built apartment with underground parking.,1984,6,14.31,0,2
Hannover,30165,142.6,4.8,1720.0,Bright apartment with great views of the city.,1984,0,12.06,0,3
Cologne,50670,41.5,1.1,503.0,Sonnige Südausrichtung mit großer Terrasse.,1928,4,12.12,0,2
Hamburg,20099,33.2,1.0,539.0,Newly built apartment with underground parking.,1946,4,16.23,0,2
Dresden,01067,104.6,3.8,357.0,"I am currently abroad, please send deposit via Western Union before viewing.",1921,2,3.41,1,3
Essen,45130,92.3,3.5,761.0,"Zentrale Lage, alle Einkaufsmöglichkeiten fußläufig erreichbar.",1942,7,8.24,0,4
Hamburg,20095,130.7,4.8,2254.0,Newly built apartment with underground parking.,1962,7,17.25,0,2
Cologne,50670,86.2,3.0,585.0,"Cannot meet in person, will send keys by mail after payment.",1965,1,6.79,1,2
Munich,80333,61.9,1.8,1043.0,"Zentrale Lage, alle Einkaufsmöglichkeiten fußläufig erreichbar.",1900,1,16.85,0,1
Dresden,01127,71.8,2.3,1092.0,"Zentrale Lage, alle Einkaufsmöglichkeiten fußläufig erreichbar.",1941,8,15.21,0,3
Leipzig,04107,89.5,3.4,966.0,Modern renovated apartment near public transport.,2008,8,10.79,0,3
Dortmund,44137,134.4,4.3,1096.0,Sonnige Südausrichtung mit großer Terrasse.,1973,7,8.15,0,4
Duisburg,47055,59.2,2.4,677.0,Schöne helle Wohnung im Altbau mit Balkon. Ruhige Lage.,1918,8,11.43,0,4
Dresden,01109,50.9,1.6,400.0,Altbauwohnung mit hohen Decken und Parkettboden.,2014,7,7.86,0,3
Munich,80333,114.6,3.6,2421.0,Altbauwohnung mit hohen Decken und Parkettboden.,1956,2,21.13,0,1
Hannover,30159,60.4,1.8,757.0,Schöne helle Wohnung im Altbau mit Balkon. Ruhige Lage.,2005,4,12.53,0,3
Hannover,30167,116.4,4.2,1331.0,Green surroundings with garden access.,2005,4,11.43,0,3
Cologne,50672,148.7,4.6,2537.0,Gepflegtes Mehrfamilienhaus in guter Lage.,1951,5,17.06,0,2
Essen,45130,69.3,2.6,712.0,Modern renovated apartment near public transport.,2010,5,10.27,0,4
Cologne,50674,65.4,2.5,442.0,URGENT: Must rent immediately. Wire transfer required before keys.,1940,3,6.76,1,2
Hannover,30167,38.0,1.0,468.0,"Quiet neighborhood, perfect for families.",2016,5,12.32,0,3
Cologne,50668,93.1,2.7,1396.0,Newly built apartment with underground parking.,1946,3,14.99,0,2
Berlin,10115,124.0,3.7,616.0,"Cannot meet in person, will send keys by mail after payment.",1904,8,4.97,1,2
Munich,80333,134.3,5.0,5306.0,"Quiet neighborhood, perfect for families.",1926,6,39.51,0,1
Nuremberg,90402,123.4,4.4,1130.0,Gepflegtes Mehrfamilienhaus in guter Lage.,1996,2,9.16,0,3
Hannover,30165,71.7,2.3,1419.0,Well-maintained building with elevator.,1961,4,19.79,0,3
Frankfurt,60311,126.4,3.8,3168.0,Altbauwohnung mit hohen Decken und Parkettboden.,2016,4,25.06,0,1
Essen,45128,80.1,2.5,372.0,Payment required before viewing. Keys will be mailed to you.,1921,6,4.65,1,4
Leipzig,04103,141.8,4.6,1280.0,Moderne Wohnung mit Fußbodenheizung.,1944,3,9.03,0,3
Munich,81667,75.4,3.0,1341.0,Modern renovated apartment near public transport.,1915,5,17.79,0,1
Cologne,50676,37.9,1.5,220.0,URGENT: Must rent immediately. Wire transfer required before keys.,1901,4,5.81,1,2
Duisburg,47058,82.8,2.8,216.0,Payment required before viewing. Keys will be mailed to you.,1911,3,2.61,1,4
Munich,80335,90.5,3.0,2180.0,Bright apartment with great views of the city.,1940,3,24.09,0,1
Dresden,01109,147.3,5.3,1295.0,Gemütliche 2-Zimmer Wohnung mit Einbauküche.,2004,4,8.79,0,3
Leipzig,04109,35.1,1.1,276.0,Modern renovated apartment near public transport.,1961,2,7.86,0,3
Hannover,30165,48.0,1.8,569.0,Green surroundings with garden access.,1922,5,11.85,0,3
Duisburg,47051,114.3,3.7,948.0,Newly built apartment with underground parking.,2023,3,8.29,0,4
Stuttgart,70178,72.6,2.4,906.0,Gemütliche 2-Zimmer Wohnung mit Einbauküche.,1948,4,12.48,0,1
Essen,45134,133.6,4.1,1123.0,Gepflegtes Mehrfamilienhaus in guter Lage.,2023,1,8.41,0,4
Munich,81669,27.0,1.0,532.0,Green surroundings with garden access.,1936,1,19.7,0,1
Frankfurt,60322,53.0,1.4,555.0,I won the lottery and leaving Germany. Quick decision needed.,1930,3,10.48,1,1
Dresden,01067,95.9,3.1,1001.0,Sonnige Südausrichtung mit großer Terrasse.,1921,0,10.44,0,3
Hamburg,20097,118.6,3.5,743.0,Payment required before viewing. Keys will be mailed to you.,1944,3,6.26,1,2
Duisburg,47051,63.3,2.1,397.0,Modern renovated apartment near public transport.,1989,3,6.27,0,4
Munich,80331,31.6,1.5,747.0,Well-maintained building with elevator.,1936,5,23.64,0,1
Düsseldorf,40211,33.5,1.5,389.0,Modern renovated apartment near public transport.,1937,2,11.61,0,2
Duisburg,47057,64.1,2.0,503.0,Frisch saniert mit neuer Küche und Bad.,1989,6,7.85,0,4
Munich,80539,65.9,2.5,1398.0,Modern renovated apartment near public transport.,1935,0,21.21,0,1
Stuttgart,70188,75.7,2.9,946.0,Gemütliche 2-Zimmer Wohnung mit Einbauküche.,1907,2,12.5,0,1
Hamburg,20099,99.0,3.5,2616.0,Frisch saniert mit neuer Küche und Bad.,2014,0,26.42,0,2
Leipzig,04109,41.5,1.3,120.0,Sehr günstig wegen Umzug ins Ausland. Kaution vorab überweisen.,1988,3,2.89,1,3
Munich,80335,84.2,3.1,2624.0,Gemütliche 2-Zimmer Wohnung mit Einbauküche.,2018,3,31.17,0,1
Dortmund,44141,146.8,5.0,902.0,Green surroundings with garden access.,2000,4,6.14,0,4
Duisburg,47051,45.8,1.9,279.0,Bright apartment with great views of the city.,2007,1,6.09,0,4
Berlin,10963,96.7,3.6,1316.0,"Zentrale Lage, alle Einkaufsmöglichkeiten fußläufig erreichbar.",1982,6,13.61,0,2
Cologne,50668,111.3,4.1,1032.0,"Quiet neighborhood, perfect for families.",1932,3,9.27,0,2
Düsseldorf,40217,110.4,3.5,637.0,"Cannot meet in person, will send keys by mail after payment.",2019,0,5.77,1,2
Berlin,10179,128.2,4.5,3288.0,Well-maintained building with elevator.,1903,8,25.64,0,2
Frankfurt,60316,137.3,4.7,3668.0,Sonnige Südausrichtung mit großer Terrasse.,1967,5,26.71,0,1
Nuremberg,90403,48.5,1.3,960.0,Green surroundings with garden access.,1928,5,19.8,0,3
Hamburg,20146,137.6,4.6,2042.0,Green surroundings with garden access.,1912,0,14.84,0,2
Dortmund,44143,94.2,3.3,669.0,Close to university and city center.,1911,8,7.1,0,4
Leipzig,04107,79.5,2.3,1324.0,Gemütliche 2-Zimmer Wohnung mit Einbauküche.,1983,1,16.66,0,3
Cologne,50674,126.7,4.7,2102.0,Bright apartment with great views of the city.,1934,8,16.59,0,2
Frankfurt,60325,51.5,1.4,2058.0,Bright apartment with great views of the city.,1980,8,39.96,0,1
Essen,45128,132.5,4.5,1134.0,Newly built apartment with underground parking.,2018,7,8.56,0,4
Leipzig,04177,141.3,4.3,930.0,Moderne Wohnung mit Fußbodenheizung.,1935,0,6.58,0,3
Essen,45134,137.5,5.0,974.0,Moderne Wohnung mit Fußbodenheizung.,1947,4,7.08,0,4
Düsseldorf,40219,55.6,2.2,444.0,I won the lottery and leaving Germany. Quick decision needed.,1950,8,7.98,1,2
Dortmund,44135,91.7,3.3,1205.0,Close to university and city center.,1957,0,13.14,0,4
Nuremberg,90403,123.9,4.2,1372.0,Moderne Wohnung mit Fußbodenheizung.,1935,4,11.07,0,3
Hamburg,20095,142.2,4.9,2916.0,Moderne Wohnung mit Fußbodenheizung.,1936,2,20.51,0,2
Dresden,01097,55.4,1.6,256.0,"I am currently abroad, please send deposit via Western Union before viewing.",1964,7,4.61,1,3
Frankfurt,60322,76.4,3.0,1533.0,Newly built apartment with underground parking.,1992,8,20.07,0,1
Dortmund,44141,79.8,2.2,663.0,Bright apartment with great views of the city.,1945,4,8.31,0,4
Berlin,10117,131.0,3.9,3225.0,"Zentrale Lage, alle Einkaufsmöglichkeiten fußläufig erreichbar.",1980,6,24.62,0,2
Leipzig,04109,94.4,2.8,829.0,Green surroundings with garden access.,1903,2,8.78,0,3
Duisburg,47058,68.3,2.2,409.0,Altbauwohnung mit hohen Decken und Parkettboden.,1990,8,5.99,0,4
Frankfurt,60318,26.9,1.0,344.0,"Cannot meet in person, will send keys by mail after payment.",2002,4,12.8,1,1
Dresden,01069,109.9,3.7,1061.0,Altbauwohnung mit hohen Decken und Parkettboden.,1944,8,9.65,0,3
Cologne,50667,143.0,4.6,2479.0,"Quiet neighborhood, perfect for families.",1954,2,17.34,0,2
Duisburg,47053,108.2,3.3,611.0,Well-maintained building with elevator.,1973,2,5.65,0,4
Hannover,30167,138.4,4.9,653.0,"I am currently abroad, please send deposit via Western Union before viewing.",1919,3,4.72,1,3
Cologne,50672,52.8,1.3,724.0,Schöne helle Wohnung im Altbau mit Balkon. Ruhige Lage.,1954,2,13.72,0,2
Hamburg,20097,138.7,4.6,3084.0,Bright apartment with great views of the city.,1990,7,22.23,0,2
Hamburg,20148,62.3,2.1,1003.0,Gemütliche 2-Zimmer Wohnung mit Einbauküche.,1908,3,16.1,0,2
Hamburg,20097,138.4,4.6,1647.0,Altbauwohnung mit hohen Decken und Parkettboden.,1917,4,11.9,0,2
Cologne,50668,127.8,4.2,1768.0,"Zentrale Lage, alle Einkaufsmöglichkeiten fußläufig erreichbar.",1941,8,13.83,0,2
Munich,80469,120.0,3.6,1956.0,Sonnige Südausrichtung mit großer Terrasse.,2004,4,16.3,0,1
Hamburg,20099,40.8,1.3,573.0,Close to university and city center.,1981,4,14.04,0,2
Frankfurt,60322,80.6,3.0,470.0,I won the lottery and leaving Germany. Quick decision needed.,1922,0,5.83,1,1
Leipzig,04109,85.9,2.6,518.0,Gepflegtes Mehrfamilienhaus in guter Lage.,2003,2,6.03,0,3
Berlin,10117,51.3,1.9,839.0,Green surroundings with garden access.,1924,6,16.35,0,2
Hannover,30169,126.8,3.8,1594.0,Close to university and city center.,2013,0,12.57,0,3
Stuttgart,70188,126.7,4.0,1379.0,URGENT: Must rent immediately. Wire transfer required before keys.,1939,7,10.88,1,1
Hannover,30167,79.2,2.3,643.0,Newly built apartment with underground parking.,1926,2,8.12,0,3
Dortmund,44143,119.5,3.9,364.0,Payment required before viewing. Keys will be mailed to you.,1972,7,3.05,1,4
Stuttgart,70182,73.5,2.2,473.0,URGENT: Must rent immediately. Wire transfer required before keys.,1912,3,6.44,1,1
Essen,45131,105.0,3.0,675.0,Newly built apartment with underground parking.,1950,1,6.43,0,4
Munich,81667,93.2,3.1,3878.0,Moderne Wohnung mit Fußbodenheizung.,1963,3,41.61,0,1
Nuremberg,90408,135.6,4.8,497.0,"Cannot meet in person, will send keys by mail after payment.",1964,3,3.66,1,3
Leipzig,04179,40.9,1.0,339.0,Gepflegtes Mehrfamilienhaus in guter Lage.,1950,4,8.29,0,3
Nuremberg,90403,145.7,4.6,1582.0,Gepflegtes Mehrfamilienhaus in guter Lage.,1960,3,10.86,0,3
Stuttgart,70186,35.7,1.3,634.0,Schöne helle Wohnung im Altbau mit Balkon. Ruhige Lage.,2015,6,17.76,0,1
Dresden,01127,116.0,4.2,766.0,Close to university and city center.,2012,2,6.6,0,3
Hannover,30169,56.1,2.3,733.0,Newly built apartment with underground parking.,1902,0,13.07,0,3
Düsseldorf,40217,109.8,3.5,1560.0,Gepflegtes Mehrfamilienhaus in guter Lage.,1997,8,14.21,0,2
Düsseldorf,40211,44.2,1.7,648.0,Frisch saniert mit neuer Küche und Bad.,1909,1,14.66,0,2
Dortmund,44137,74.7,2.8,629.0,Gemütliche 2-Zimmer Wohnung mit Einbauküche.,1928,8,8.42,0,4
Duisburg,47059,61.0,2.4,447.0,Gepflegtes Mehrfamilienhaus in guter Lage.,1924,7,7.33,0,4
Hamburg,20146,61.0,1.9,1415.0,"Zentrale Lage, alle Einkaufsmöglichkeiten fußläufig erreichbar.",1925,6,23.19,0,2
